Country,Year,Energy,Industrial_Processes_and_Product_Use,Agriculture,LULUCF,Waste_management,Other_Sector,Total (with LULUCF),ind_CO2 - Indirect CO2
Cyprus,2011-01-01,3594.3440275,198.54867666666667,133.72507,-217.64296,134.0417075,0.0,1818.312163333333,0.0
Cyprus,2012-01-01,3349.8377275000003,189.74885333333336,127.5643425,-211.0320925,136.7576625,0.0,1702.2500277777779,0.0
Cyprus,2013-01-01,2891.314145,240.34236888888887,118.75727499999999,-220.0105825,139.727425,0.0,1542.4704844444445,0.0
Cyprus,2014-01-01,2972.8625625,288.4998188888889,114.91327,-217.967815,142.4398925,0.0,1627.2766666666669,0.0
Cyprus,2015-01-01,3034.02215,269.3349,117.24533499999998,-215.99269999999996,144.5442375,0.0,1638.1433533333336,0.0
Cyprus,2016-01-01,3233.0792825,273.51498555555554,123.50794499999999,-28.819920000000003,146.08544250000003,0.0,1817.4495399999998,0.0
Cyprus,2017-01-01,3286.8842425000007,285.4732944444445,126.890225,-209.732395,147.7890375,0.0,1775.1760100000001,0.0
Cyprus,2018-01-01,3230.386125,271.87152444444445,128.18086999999997,-199.852735,149.15022750000003,0.0,1742.033518888889,0.0
Czechia,1990-01-01,77272.663655,3650.037667777778,4315.4284450000005,-2863.887205,815.2245625,0.0,39415.25450333333,1864.61685
Czechia,1991-01-01,71117.25988499999,2967.2265766666665,3570.5380750000004,-4471.37253,853.4717700000001,0.0,34922.89641000001,1660.71985
Czechia,1992-01-01,68609.03906250001,3116.89779,3042.8564399999996,-4810.4233075,856.9521549999998,0.0,33553.68022,1568.67224
Czechia,1993-01-01,66031.9687725,2882.6437533333333,2709.904455,-4626.442529999999,880.4582675,0.0,32111.210323333333,1536.77164
Czechia,1994-01-01,62222.5475575,3135.490496666667,2458.8193075,-3495.90339,922.7012924999999,0.0,31067.926374444447,1479.63191
Czechia,1995-01-01,62082.95956000001,3009.1861633333333,2466.679835,-3716.8809675,926.2047325000001,0.0,30777.031688888892,1437.37854
Czechia,1996-01-01,63403.137442499996,3168.570258888889,2389.8696625000002,-3907.1455,936.2033175,0.0,31401.496015555556,1404.0360699999999
Czechia,1997-01-01,60851.90703999999,3368.7547522222226,2282.3047049999996,-3434.849475,967.3503275,0.0,30637.700378888887,1376.8301199999999
Czechia,1998-01-01,57966.420245,3387.8392833333332,2210.6964924999997,-3480.15936,1000.1298375000001,0.0,29327.062060000007,1332.32806
Czechia,1999-01-01,54623.3566825,2848.5832744444447,2205.6481824999996,-3594.3349875,1004.2459749999999,0.0,27230.351394444442,1240.12484
Czechia,2000-01-01,59065.4243525,3164.948837777778,2222.7890374999993,-4039.5425925,1013.689345,0.0,29320.447582222223,1175.0240800000001
Czechia,2001-01-01,59314.5022675,3003.50144,2312.1862774999995,-4184.655925,1054.9940374999999,0.0,29253.473543333337,1130.82115
Czechia,2002-01-01,57766.916067499995,2973.472108888889,2224.632897499999,-3998.0277775,1097.9324475,0.0,28586.449178888888,1075.48955
Czechia,2003-01-01,59028.3349975,3208.705283333333,2087.43705,-3251.5377575,1153.7301424999998,0.0,29674.420921111112,1059.79151
Czechia,2004-01-01,58969.71524,3403.376842222222,2195.1084224999995,-3485.145395,1138.0873374999999,0.0,29771.021586666673,1018.8701300000001
Czechia,2005-01-01,58473.3722375,3158.7454888888888,2122.5975675,-3688.0745775000005,1143.55614,0.0,29196.381146666667,1066.45771
